CustomerID,FullName,Region,SignupDate,LoyaltyTier,Age,Gender
C1000,Maria Lundberg,Sweden,8/27/2022,Silver,44,Female
C1001,Przemysław Tatarczuk,Sweden,6/12/2024,Silver,41,Male
C1002,Manon de Maillard,Sweden,2/2/2022,Silver,25,Female
C1003,Pepito Cleto Juan Barón,Spain,12/12/2023,Gold,56,Male
C1004,Elin van 't Wel,Austria,3/19/2024,Silver,64,Male
C1005,Hans Söderström,Denmark,7/12/2024,Gold,46,Male
C1006,Emmy Vogt,Poland,10/20/2024,Bronze,33,Female
C1007,Cornelia Honing,Poland,9/12/2024,Silver,27,Male
C1008,Sig.ra Paola Longhena,Sweden,11/10/2024,Bronze,57,Female
C1009,Martin Svensson,France,6/26/2022,Silver,51,Female
C1010,Fortunata Falcón,Sweden,7/28/2023,Bronze,32,Female
C1011,Richard Bazin,Sweden,3/3/2024,Silver,39,Female
C1012,Noël Lesage du Texier,Belgium,1/22/2022,Silver,58,Male
C1013,Christopher Ortiz,Spain,8/17/2022,Gold,41,Male
C1014,pan Albert Godzik,Poland,12/17/2023,Gold,31,Male
C1015,Virginia Majorana,France,8/18/2024,Silver,24,Female
C1016,Vinicio de Garmendia,Germany,5/28/2022,Gold,52,Male
C1017,Samuel Miró Olivares,Poland,4/8/2023,Silver,48,Female
C1018,David Brown,Germany,3/24/2024,Gold,41,Male
C1019,René Gomes,France,6/6/2024,Gold,63,Female
C1020,Michelle Fontaine-Maréchal,Austria,4/22/2023,Gold,45,Female
C1021,pani Klara Trzpil,Italy,6/2/2022,Silver,41,Male
C1022,Jaime Vall Viña,Belgium,1/19/2023,Silver,38,Female
C1023,Marilyn Clark,Belgium,10/23/2023,Silver,57,Male
C1024,Giulietta Navone,Belgium,11/20/2024,Bronze,43,Male
C1025,Melissa de Koning,Poland,3/22/2023,Silver,61,Male
C1026,Rosina Longhena-Anguissola,Austria,2/3/2023,Gold,59,Male
C1027,Arthur Le Roux,Italy,1/3/2024,Bronze,25,Male
C1028,Sten Arvidsson,Italy,5/9/2022,Bronze,29,Male
C1029,Anna Knutsson,Netherlands,4/15/2023,Bronze,41,Male
C1030,pani Nela Konieczek,Italy,3/31/2022,Bronze,32,Male
C1031,Sandra Lee,Sweden,6/23/2023,Gold,26,Female
C1032,Coral Uribe Rincón,Denmark,10/20/2024,Silver,52,Male
C1033,Taylor Fox PhD,Belgium,7/31/2023,Bronze,54,Female
C1034,Giuliana Trillini,Belgium,6/12/2023,Silver,20,Male
C1035,Mrs Barbara Day,Netherlands,4/12/2024,Silver,25,Female
C1036,Victoria Lommert,Netherlands,4/2/2023,Silver,58,Male
C1037,Alejandro Rodriguez,Belgium,9/4/2022,Silver,35,Female
C1038,Rosa Goedhart,Germany,10/14/2024,Silver,65,Female
C1039,Lynne Turnbull,Germany,12/1/2023,Bronze,51,Male
C1040,Oscar Karlsson,Netherlands,7/4/2022,Gold,27,Male
C1041,Frau Nurten Vollbrecht,France,2/27/2023,Bronze,45,Male
C1042,Marion Williams,France,8/5/2024,Gold,43,Female
C1043,Corona de Pozo,Austria,4/9/2023,Bronze,32,Male
C1044,Mrs. Mary Nelson,Austria,10/5/2022,Gold,59,Male
C1045,Jelte Thout,France,8/10/2023,Gold,30,Female
C1046,Christopher Davis,Denmark,6/28/2022,Silver,45,Male
C1047,Vanessa Traversa,Italy,2/21/2022,Bronze,42,Male
C1048,Esmee Willems van Lier,Denmark,11/3/2024,Bronze,39,Male
C1049,Roberta del Benitez,Belgium,7/19/2023,Bronze,25,Male
C1050,Kenan Röhrdanz,Austria,2/21/2023,Bronze,24,Male
C1051,Filippo Tröst,France,1/15/2022,Silver,29,Male
C1052,Hans-Hinrich Drubin MBA.,France,4/25/2023,Bronze,61,Female
C1053,Lori Garcia,Austria,4/14/2023,Gold,23,Male
C1054,Viktoria Björk,Netherlands,9/25/2024,Silver,60,Female
C1055,Moritz Fritsch-Schlosser,Italy,2/17/2024,Bronze,63,Male
C1056,Florentino Mendez Taboada,Netherlands,3/11/2022,Gold,22,Male
C1057,Edit Röhricht B.Sc.,Germany,5/7/2024,Bronze,48,Female
C1058,Julie Morel,Spain,5/1/2022,Bronze,29,Female
C1059,Anastazja Kołodziejak,Poland,3/16/2023,Bronze,44,Male
C1060,Juan Manuel Soriano Pinilla,Austria,4/21/2022,Gold,25,Female
C1061,Margot du Laroche,Germany,1/3/2024,Gold,61,Male
C1062,Fatima Barents,Poland,11/17/2022,Silver,25,Male
C1063,Błażej Zuziak,Italy,2/16/2024,Bronze,49,Male
C1064,Anouk De Oliveira,Poland,10/13/2023,Bronze,25,Male
C1065,Joëlle van Bentheim-van Straaten,Italy,3/25/2023,Bronze,63,Male
C1066,Ansaldo Pedrazzini,Netherlands,2/8/2022,Gold,24,Male
